cal_key,topic,rd_key
CLS_INTRO,Introduction,INTRO
CLS_INTRO_CLIMATE_CHANGE,What is Climate Change?,INTRO_CLIMATE_CHANGE
CLS_ENERGY_BALANCE,Energy Balance and Climate,ENERGY_BALANCE
CLS_LAYER_GREENHOUSE,Greenhouse Effect,LAYER_GREENHOUSE
CLS_SPECTRAL_GREENHOUSE,Greenhouse Gases,SPECTRAL_GREENHOUSE
CLS_VERTICAL_STRUCTURE,Vertical Structure of the Atmosphere,VERTICAL_STRUCTURE
CLS_GREENHOUSE_REVIEW,Review of Greenhouse Effect,GREENHOUSE_REVIEW
CLS_FEEDBACKS,Feedbacks,FEEDBACKS
CLS_OCEAN_BIOSPHERE_FEEDBACKS,Ocean and Biosphere Feedbacks,OCEAN_BIOSPHERE_FEEDBACKS
CLS_OCEAN_BREATHES,The Carbon Cycle: Ocean and Biosphere,OCEAN_BREATHES
CLS_ROCKS_BREATHE,The Carbon Cycle: Mineral Weathering,ROCKS_BREATHE
CLS_PERTURBED_CARBON,Perturbing the Carbon Cycle,PERTURBED_CARBON
CLS_PALEO_PROXIES,Climates of the Past,PALEO_PROXIES
CLS_PLEISTOCENE,The Pleistocene Ice Ages,PLEISTOCENE
CLS_CLIMATE_REVIEW,Review,CLIMATE_REVIEW
CLS_CLIMATE_MODELS,Climate Models,CLIMATE_MODELS
CLS_FUTURE_CLIMATES,Future Climate Change,FUTURE_CLIMATES
CLS_REVIEW_FOR_MIDTERM,Catching up and Review,REVIEW_FOR_MIDTERM
CLS_MIDTERM_EXAM,Midterm Exam,MIDTERM_EXAM
CLS_UNCERTAINTY,Uncertainty about Future Climates,UNCERTAINTY
CLS_CLIMATE_IMAPACTS_1,How Will Climate Change Affect Our Lives? (Part 1),CLIMATE_IMAPACTS_1
CLS_CLIMATE_IMAPACTS_2,How Will Climate Change Affect Our Lives? (Part 2),CLIMATE_IMAPACTS_2
CLS_POLICY_MYTHS,Policy Myths,POLICY_MYTHS
CLS_KAYA_IDENTITY,"The Kaya Identity: Energy Use, Efficiency, and Conservation",KAYA_IDENTITY
CLS_BOTTOM_UP_DECARBONIZATION,Reducing Carbon Emissions: Bottom-Up Approaches,BOTTOM_UP_DECARBONIZATION
CLS_TOP_DOWN_DECARBONIZATION,Reducing Carbon Emissions: Top-Down Approaches,TOP_DOWN_DECARBONIZATION
CLS_COST_OF_MITIGATION,The Cost of Reducing Emissions,COST_OF_MITIGATION
CLS_POLICY_GOALS,Goals of Climate Policy,POLICY_GOALS
CLS_COSTS_AND_BENEFITS,Costs and Benefits,COSTS_AND_BENEFITS
CLS_SOCIAL_COST_OF_CARBON,Pricing Carbon,SOCIAL_COST_OF_CARBON
CLS_CARBON_PRICING_INSTRUMENTS,Carbon Pricing Instruments,CARBON_PRICING_INSTRUMENTS
CLS_DISCOUNTING,Discounting and the Value of Time,DISCOUNTING
CLS_LIMITS_OF_ECON,The Limits of Economic Approaches,LIMITS_OF_ECON
CLS_RENEWABLE_ENERGY,The Case for Renewable Energy,RENEWABLE_ENERGY
CLS_NUCLEAR_ENERGY,The Case for Nuclear Energy,NUCLEAR_ENERGY
CLS_GEOENGINEERING_SOLAR_RADIATION,Geoengineering: Solar Radiation Management,GEOENGINEERING_SOLAR_RADIATION
CLS_GEOENGINEERING_CARBON_CAPTURE,Geoengineering: Carbon Dioxide Management,GEOENGINEERING_CARBON_CAPTURE
CLS_PRAGMATIC_POLICIES,Pragmatism and Climate Policy,PRAGMATIC_POLICIES
CLS_GLOBAL_WARMING_GRIDLOCK,Global Warming Gridlock,GLOBAL_WARMING_GRIDLOCK
CLS_BEYOND_GRIDLOCK,Beyond Gridlock: Second-Best Policies,BEYOND_GRIDLOCK
CLS_OBSTACLES_PERSPECTIVES,Obstacles and Perspectives,OBSTACLES_PERSPECTIVES
CLS_SEMESTER_REVIEW,Review,SEMESTER_REVIEW
